platform,tweet_id,author_handle,author_name,text,created_at,url,is_official,source_query,has_media,likes,retweets,replies,views,bookmarks,author_followers,engagement_score
x,2040490562021703992,t1mes1nk,timesink 🇺🇦#StandWithUkraine,https://t.co/5YkPczvWWx,Sat Apr 04 18:03:55 +0000 2026,https://x.com/i/status/2040490562021703992,False,Claude Code,False,0,0,0,5,0,75,5
x,2040490484041142352,Bimon,MON,"@brovonmakel Jaaaa, das hatte ich sogar schon mal versucht aber das lief dann einfach nicht, also habe ich es wieder verworfen. Vielleicht via codex oder claude, das ist ja eher ein reines code-ding aber über replit hat es einfach nicht funktioniert.",Sat Apr 04 18:03:36 +0000 2026,https://x.com/i/status/2040490484041142352,False,Claude Code,False,0,0,0,6,0,126532,6
x,2040490455549526484,tooru_kabu,とおる｜投資0日から資産形成記録,Claude Codeで一定数会話すると文字化けするのは私だけかな？ちなみにVScodeでターミナル開いて利用しています。。。 https://t.co/FEShsd8dhG,Sat Apr 04 18:03:29 +0000 2026,https://x.com/i/status/2040490455549526484,False,Claude Code,True,0,0,0,4,0,19,4
x,2040490404605473029,shu_web_net,しゅう｜Webコーダー,#Web製作 #コーダー Claude Codeに、Python書かせたら、できることめっちゃ増えそう…  PDFの結合するのに、Windowsなので、普通にやるならウェブツールなんですが、Claude Code使って、ネットに情報あげずに対応できました  なんか、自分がすごいのかと勘違いしちゃいそうですね…,Sat Apr 04 18:03:17 +0000 2026,https://x.com/i/status/2040490404605473029,False,Claude Code,False,0,0,0,5,0,566,5
x,2040490378340773914,atomtanstudio,Rich,"@elalvarobalbin @garrytan That is absolutely untrue, especially for skills like GStack. I've added it to OpenClaw and Claude Code and codex and anti-gravity, and it's been smooth sailing in all of the cases.",Sat Apr 04 18:03:11 +0000 2026,https://x.com/i/status/2040490378340773914,False,Claude Code,False,0,0,0,10,0,32,10
x,2040490320555581782,cryyyptorenilp,Vlady,@gregisenberg The One-Hour Company  / You can go from idea to first paying customer in a single morning. / Not a month. Not a week. One morning. / Claude Code + a landing page + an existing audience = revenue before lunch. / The old startup timeline is dead.,Sat Apr 04 18:02:57 +0000 2026,https://x.com/i/status/2040490320555581782,False,Claude Code,False,0,0,1,6,0,337,6
x,2040490317854482485,ax_13h,Gilles Dubuc,"After a year of producing all my code through Claude Code, I felt that no terminal app really cattered to that workflow well. So I built it: https://t.co/23D0kuPjjS  A Claude-first lightweight terminal client that's optimized for managing concurrent Claude Code sessions. https://t.co/eoRAS2AMVf",Sat Apr 04 18:02:56 +0000 2026,https://x.com/i/status/2040490317854482485,False,Claude Code,True,0,0,1,6,0,527,6
x,2040490261688500456,Nabynaby6,⚛️ Titi Mania ⚛️,@Zoeillle Hello tu l’utilises avec Claude code ?,Sat Apr 04 18:02:43 +0000 2026,https://x.com/i/status/2040490261688500456,False,Claude Code,False,0,0,0,3,0,131,3
x,2040490209213841800,erikryanmoore,Erik Moore,"Does anyone else find that Claude browser sessions (not Claude Code) constantly end their messages with seemingly rhetorical questions?   ""What do you think is the best way to do X?""  ...if I had that answer I wouldn't be going back and forth with an LLM...",Sat Apr 04 18:02:31 +0000 2026,https://x.com/i/status/2040490209213841800,False,Claude Code,False,0,0,0,3,0,10,3
x,2040490206864826566,yalcinjs,Yalçın,"Claude Code token optimizasyonu için basit bir strateji:  Yoğun saatler → Araştırma işlerini Haiku/Sonnet’e yönlendirin. Daha az token tüketimi, aynı sonuç.  Boş saatler → Opus ile rahatça çalışın. Bugün 4 paralel ajan + birden fazla web araştırması yaptım. Token kullanımı",Sat Apr 04 18:02:30 +0000 2026,https://x.com/i/status/2040490206864826566,False,Claude Code,False,0,0,0,1,0,2,1
x,2040490179094581266,sora19ai,そら ☁️ AgentSkills 自動化オタク📱,Claude Code使ってる人は全部これ読むべき。,Sat Apr 04 18:02:23 +0000 2026,https://x.com/i/status/2040490179094581266,False,Claude Code,False,0,0,0,17,0,18719,17
x,2040490170055569810,ventunolabs,Marco,"@LLMJunky building an apple watch app with claude code right now. xcode is the part that makes me want to quit every other week. curious how app creator compares when it comes to the real pain points, provisioning profiles, watchOS quirks, simulator issues. might have to give it a try.",Sat Apr 04 18:02:21 +0000 2026,https://x.com/i/status/2040490170055569810,False,Claude Code,False,0,0,0,5,0,3,5
x,2040490146194145405,gunjandoshi,Gunjan Doshi,Rob and I just spent 3 straight days building round the clock. We captured 20 years of sales and recruiting methodology and built two AI-native digital co-workers using Claude Code. Going live Monday.  The biggest lesson? Building the agent is not the hard part anymore. Rolling,Sat Apr 04 18:02:15 +0000 2026,https://x.com/i/status/2040490146194145405,False,Claude Code,False,0,0,0,4,0,943,4
x,2040490129567912132,mentuur_x,Sir Duke,"@ziwenxu_ As a fallback I have a skill that teaches any main model (e.g Minimax 2.5 or 2.7) to use Claude Code effectively as a sub-agent.  So each time I want Claude Code to carry out a task, the main agents sees that as a tool call/delegation. Either way I’m getting similar results.",Sat Apr 04 18:02:12 +0000 2026,https://x.com/i/status/2040490129567912132,False,Claude Code,False,0,0,0,2,0,36,2
x,2040490045464088783,studio_iroha_jp,いろは｜Androidアプリ個人開発,@paranishian 私も同じくコーディングはCodexに乗り換えました！ 以前は本業エンジニアの業務とアプリの個人開発でClaude Codeを使っていたんですが、使用制限で待ってる間にCodexを試したら、使い勝手が良くて使用量の減りも少ないので完全に乗り換えちゃいました😂,Sat Apr 04 18:01:51 +0000 2026,https://x.com/i/status/2040490045464088783,False,Claude Code,False,0,0,0,5,0,51,5
x,2040489958360891599,mihir_jaiswal_,Mihir Jaiswal,"Is it just me, or has claude code been hallucinating a lot lately?",Sat Apr 04 18:01:31 +0000 2026,https://x.com/i/status/2040489958360891599,False,Claude Code,False,1,0,0,5,0,37,5
x,2040489900529639605,DonnyJohnNum1,Donny John,@bcherny i haven't been using my clawdbot as much since i've built what i need for now but i do periodic updates as things come up/break. what's the best way for me to switch to native claude code? remote agents via the claude app?,Sat Apr 04 18:01:17 +0000 2026,https://x.com/i/status/2040489900529639605,False,Claude Code,False,0,0,0,4,0,184,4
