comment_id,video_id,author,body,like_count,published_at
UgznfE9wB1D4s3u3AFR4AaABAg,XRU-CjzYt_o,@danmartell,✅ Get your FREE AI Prompt Cheatsheet here: https://go.danmartell.com/484Q7tK,27,2026-04-02T13:02:18Z
UgyZ6FntUsQ6Klbx94N4AaABAg,XRU-CjzYt_o,@fatulcosmin,Claude is killing itself with those trash limits,101,2026-04-02T18:51:07Z
Ugw1ehdOOR__dWKDzj54AaABAg,XRU-CjzYt_o,@thephildiamond,The best AI model is likely going to change every month so do yourself a favor and create a model agnostic knowledge vault that you can plug any model into moving forward.,86,2026-04-02T14:30:27Z
UgyOmffeW_L5hc903nF4AaABAg,XRU-CjzYt_o,@agmusic3359,"OpenAI was a star when they launched ChatGPT. If something better is launched tomorrow, Claude will end up the same way",19,2026-04-03T09:36:17Z
UgzoOZkNnlr8UDtoq0R4AaABAg,XRU-CjzYt_o,@ancientearth2250,"Only gpt gives you more time for the money. Claude is good, but damn those time limit is really worth it?",31,2026-04-02T16:52:35Z
Ugx9ymQri6pS40F6WOp4AaABAg,XRU-CjzYt_o,@Husbandadvice,I used to spend 45 minutes 3 days a week scraping government contracts for bids myself. With Claude and Claude code have a local app that runs a report and gives me a prioritized Excel spreadsheet 3 times a week,22,2026-04-02T17:26:08Z
UgyF8O1eTal9J_DtXFd4AaABAg,XRU-CjzYt_o,@claudioherrera6050,Usage limits on Claude doesn't work for me.,64,2026-04-02T17:35:08Z
UgxdmJMeGGHWNV-0hIB4AaABAg,XRU-CjzYt_o,@cryptoacademymastery,"Mr.Martell, been wanting to comment on your content for quite some time. I love all the videos. But I will say, by far my FAVORITE of all times is the one titled "" How to build systems not goals"". I recommend everyone watch it - not just for the content - But for what you did for one of your employees. Literaly had tears coming down my face the first time i watched it. Keep crushing it Dan ! P.S - My dad was a brain surgeon and passed from a brain tumor when i was six. crazy world we live in ! Godbless",20,2026-04-02T16:30:02Z
UgzofvT1ohlmI33QGsZ4AaABAg,XRU-CjzYt_o,@Trex10nyson,"Claude is good except one thing, Even on the Pro Plan which $20 month, still not enough. The token drain like crazy, you need to upgrade to Max plan.",139,2026-04-02T13:11:36Z
UgxU2u2RTqmCI2-mAel4AaABAg,XRU-CjzYt_o,@easypeasy2938,I'm on both.  20/mo plans.   I contstantly run up against Claude limits in the middle of projects..   very little warning.   then you have to wait for it to reset  or transfer to another llm.   This hardly ever happens with chatgpt.  Feels like this is personal with Dan and I'm curious why.   I see very little difference in quality of output of their frontier models other than claude's  tendency to run out of tokens quicker.,37,2026-04-02T14:31:35Z
UgxL5tdJTidPNCtP6bp4AaABAg,IYF4NtECX3s,@AIEdgeHQ,"Sign up for the AI Edge newsletter, and unlock the assets from the video by joining my Instagram community
👉 https://www.aiedgehq.co/",2,2026-04-03T18:04:53Z
UgwFYdcuTaccoprb5Ux4AaABAg,IYF4NtECX3s,@Rick_1738,🔥🔥,1,2026-04-03T20:02:31Z
UgxRsVBLszMFL-duY5d4AaABAg,IYF4NtECX3s,@anthonymarinelli5074,Love your passion but mate where's the Cheat Sheet !!,0,2026-04-04T13:08:27Z
UgyR7pmJridmvN7Oy6d4AaABAg,IYF4NtECX3s,@michaeladamou3671,"Miles, you’re a fkn legend",1,2026-04-03T21:10:25Z
Ugz1o16VlEsoLTWhjzJ4AaABAg,IYF4NtECX3s,@bitmaaan,Love this video format! And thanks for the prompts! 🙏,1,2026-04-03T19:40:30Z
UgxONpunxgb0S8ubK5B4AaABAg,IYF4NtECX3s,@NataELui,I didn't receive the pdf after following all the steps you sent me.,0,2026-04-04T14:47:25Z
Ugz4XPwhYZ6xpNcMMoB4AaABAg,IYF4NtECX3s,@tedcash2834,"Miles, another banger! Part 2 please. Cheers mate  👍",0,2026-04-03T23:49:25Z
UgydJdr5XEAdy1z2bQN4AaABAg,IYF4NtECX3s,@honestjoe632,"Great video, but what about those of us who work for corporates that won’t allow us to install cowork???",0,2026-04-04T05:02:35Z
UgxknLky9sLOQ4tnxJZ4AaABAg,IYF4NtECX3s,@michaeladamou3671,Oh I saw this video yesterday where you can use note to book LLM to have unlimited memory and so if you connect that to Claude you can have like the most memory possible,0,2026-04-03T21:17:08Z
UgzmbJD8_RbRlZ50H694AaABAg,IYF4NtECX3s,@jonassurmann9857,Where can you download the instructions mentioned in the video and the md files?,3,2026-04-03T22:31:11Z
UgwwG3gliYPNnqId7rt4AaABAg,O2k_qwZA8HU,@nateherk,"Full courses + unlimited support: https://www.skool.com/ai-automation-society-plus/about?el=free-claude-code
All my FREE resources: https://www.skool.com/ai-automation-society/about?el=free-claude-code",3,2026-04-04T01:29:06Z
UgwV7l5Qsca3kTb5tiF4AaABAg,O2k_qwZA8HU,@Charly-lost,the part about haiku silently charging you in the background while you thought you were running free models is genuinely something nobody warns you about,13,2026-04-04T05:41:20Z
