video_id,title,description,channel,published_at,view_count,like_count,comment_count,duration_sec,url
XRU-CjzYt_o,Why I Switched From ChatGPT to Claude (without losing anything),"✅ Get your FREE AI Prompt Cheatsheet here: https://go.danmartell.com/484Q7tK

👥 Are you building an AI software company? Partner with me: https://go.danmartell.com/3NSVsO2

Something massive is happening in the AI world right now, and most people are on the wrong side of it. ChatGPT uninstalls are spiking, OpenAI is burning cash at an alarming rate, and Claude just took the #1 spot on the App Store.

In this video, I break down what's really going on behind the scenes at both companies, why I made the switch, and the exact process I use to move everything over without losing a single piece of context or memory.

If you're still defaulting to ChatGPT out of habit, this might change your mind.

Wispr Flow: https://wisprflow.ai/r?DANIEL96092

▸▸ Subscribe to The Martell Method Newsletter: https://bit.ly/3XEBXez

▸▸ Get My New Book (Buy Back Your Time): https://bit.ly/3pCTG78

IG: @danmartell",Dan Martell,2026-04-02T13:01:04Z,170513,7139,672,967,https://www.youtube.com/watch?v=XRU-CjzYt_o
IYF4NtECX3s,Claude: From Beginner To Pro In 21 Minutes,"Sign up for the AI Edge newsletter, and unlock the assets from the video by joining my Instagram community 👉 https://www.aiedgehq.co/ 

People are still stuck in prompt mode with Claude.

Back and forth… and you’re still doing all the work.

In this video, I show you how to step out of that using Cowork, Claude Code, and a simple setup that actually runs for you.

Timestamps:
00:00 Intro
00:17 Using Claude Wrong
00:47 Prompting Vs Agents
01:51 Chat Vs Cowork Vs Code
02:55 Difference Between Cowork & Code
03:39 Scheduled Tasks
04:54 Claude Code 
06:44 Starting with Cowork
07:14 Run Cowork From Your Phone
08:01 Idea Ranking System
10:06 Build Your Own Tools
12:25 Folder Setup
13:38 3 Core Files
14:54 Memory Setup
16:36 Better Outputs 
18:54 The Automation Loop
19:34 Your Homework
20:34 Outro

💡 Tools Mentioned:

Claude
Claude Cowork
Claude Code

#claudeai  #artificialintelligence  #aiautomation  #aiagents  #aitools  #promptengineering",AI Edge,2026-04-03T19:35:05Z,7166,434,44,1260,https://www.youtube.com/watch?v=IYF4NtECX3s
O2k_qwZA8HU,Ollama + Claude Code = 99% CHEAPER,"Full courses + unlimited support: https://www.skool.com/ai-automation-society-plus/about?el=free-claude-code
All my FREE resources: https://www.skool.com/ai-automation-society/about?el=free-claude-code
Apply for my YT podcast: https://podcast.nateherk.com/apply
Work with me: https://uppitai.com/

My Tools💻
14 day FREE n8n trial: https://n8n.partnerlinks.io/22crlu8afq5r
Code NATEHERK to Self-Host Claude Code for 10% off (annual plan): https://www.hostinger.com/vps/claude-code-hosting
Voice to text: https://ref.wisprflow.ai/nateherk

In this video I walk you through two different ways to run Claude Code completely free. The first method uses Ollama to run open source models locally on your own machine, and the second uses Open Router to access free models in the cloud. 

I cover everything from downloading and configuring models to the tradeoffs between local and cloud, and when you'd actually want to use open source models over something like Opus.

    ""ANTHROPIC_BASE_URL"": ""https://op",Nate Herk | AI Automation,2026-04-04T01:28:52Z,36961,1333,123,1523,https://www.youtube.com/watch?v=O2k_qwZA8HU
Y9BOY4k_zb8,"AI News: Claude Leaks, Free Google AI Updates, + ChatGPT CarPlay","Try i10x: https://i10x.ai?fpr=paul53
Save 15% with code ""PJL15""

From leaked source code to free storage upgrades, this was one of the wildest weeks in AI — and most of these updates are things you can actually use right now.

Heads up, these updates may not be available worldwide yet. Just because I have access to them doesn't mean you will yet.

🔗 This video is sponsored. Some product links are affiliate links which means if you buy something we'll receive a small commission.

0:00 Intro
0:33 Claude Leak
1:56 Roadmap
4:33 Conway Agent
5:22 Claude Limits Issue
7:23 Windows & Microsoft
7:54 Google Flow
9:03 i10x Sponsor
12:18 Google Updates
14:28 Google Vids
15:04 Ask Maps
16:27 ChatGPT CarPlay",Paul J Lipsky,2026-04-04T13:00:54Z,2433,199,20,1059,https://www.youtube.com/watch?v=Y9BOY4k_zb8
o1i4FgtXhLA,Claude Leaks its Source Code… then Files Copyright Claim,"Anthropic have leaked their own AI’s source code in a Claude update and all of a sudden cares about copyright.

ARTICLES:
https://www.axios.com/2026/03/31/anthropic-leaked-source-code-ai
https://www.wsj.com/tech/ai/anthropic-races-to-contain-leak-of-code-behind-claude-ai-agent-4bc5acc7?st=BQwoMN&reflink=desktopwebshare_permalink
https://www.businessinsider.com/meta-granted-patent-for-ai-llm-bot-dead-paused-accounts-2026-2

SUPPORT: https://funkytime.tv/patriot-signup/
MERCH: https://funkytime.tv/shop/
FUNKY TIME WEBSITE: https://funkytime.tv

FACEBOOK: http://www.facebook.com/SamtimeNews
TWITTER: http://twitter.com/SamtimeNews
INSTAGRAM: http://instagram.com/samtimenews

-----------------------------------

'Escape the ordinary. Embrace the FUNKY!'

-----------------------------------

SAMTIME is a parody channel and does not represent the tech company featured.

For sponsorship enquiries: samtime@bossmgmtgrp.com
For other business enquiries: business@funkytime.tv
Copyright FUNKY TIME ",SAMTIME,2026-04-03T16:30:28Z,131467,10523,514,209,https://www.youtube.com/watch?v=o1i4FgtXhLA
isjOj4QSaO8,5 INSANE Claude Cowork Use Cases... steal them,"📈 ALL Systems: https://bit.ly/4kol0y5
🤩 FREE Resources: https://bit.ly/3PATPoL
🔥 Type with your voice: https://glaido.com
🎙️ My Goofy pod: https://bit.ly/46nLQ3U

🔗 LINKS
📚 Free Skool Community: https://www.skool.com/aiautomationsbyjack
🔮 Make: https://make.com/en/register?pc=jackroberts
☁️ Claude: https://claude.ai/

Claude Cowork has computer use now and 99% of people are still using it wrong. These five use cases will save you hours and let you build an actual AI employee that works alongside you.

*** CORE Software ***
☁️ Claude: https://claude.ai/

*** What Next? ***
Now grab Claude Cowork and start with computer use - it's genuinely ridiculous how much time this saves. The projects feature alone will change how you work with AI forever.

⌚️ Stamps:
00:00 Intro
00:50 Level 1
06:32 Level 2 
14:19 Level 3
19:23 Level 4
25:07 Level 5",Jack Roberts,2026-04-03T16:13:18Z,12334,355,18,1688,https://www.youtube.com/watch?v=isjOj4QSaO8
CLLyO7f6zKU,Claude + Nano Banana. Insane Social Media Content in Minutes.,"Everyone's using AI to create content. Nobody's building a system behind it. You paste a prompt, get something generic, and wonder why your content still looks like everyone else's. 

Create CONTENT 🔥 👉 now with Higgsfield: https://higgsfield.ai/?fpr=alexandre52 
(Limited time Offer)

The tool isn't the problem. The setup is. 

In this video I'll show you 3 levels of AI-powered carousel creation, from basic to a full creative system using Claude and Nano Banana Pro. Same script, same content, three completely different results. 

By the end you'll see exactly why most people's AI content looks the same, and how to build a system that makes yours impossible to replicate.

🔥🔥Get All mentioned FREE templates & frameworks inside my Vault: https://geni.us/vaultalex

📥 Get my weekly Newsletter: https://growwithalex.beehiiv.com/subscribe

Follow my Instagram (BONUS Content) https://www.instagram.com/growithalex/

0:00 - Intro
0:46 - Claude is the Brain
2:33 - The Foundation
3:02 - Level-01
5:",Grow with Alex,2026-03-31T15:30:00Z,96770,4367,115,1603,https://www.youtube.com/watch?v=CLLyO7f6zKU
L-qgqSGIBsg,تسريب Claude كشف أسرار أخطر من الكود,"في الأيام اللي فاتت حصل تسريب ضخم لأداة Claude Code، واللي تعتبر واحدة من أهم أدوات الذكاء الاصطناعي للمبرمجين.
أكتر من 1800 ملف ونص مليون سطر كود اتكشفوا بسبب غلطة بسيطة في ملف اسمه .map…
لكن الحقيقة إن الكود مش أهم حاجة في الموضوع!
في الفيديو ده هنعرف:
إيه اللي حصل بالظبط في تسريب Claude
حصل إزاي ومنين بدأت المشكلة
مدى خطورة التسريب
أخطر الحاجات اللي اتكشفت جوه الكود (خصوصًا موضوع الصلاحيات والـ Architecture)
الفيتشرز الجديدة اللي ظهرت لأول مرة زي:
KAIROS (AI شغال 24/7)
Multi-Agent System (فريق AI كامل)
AI Pet داخل التيرمنال 😅
وليه المبرمجين كانوا مبسوطين من اللي حصل!
الفيديو ده مش مجرد خبر…
ده تحليل حقيقي لطريقة بناء أدوات الذكاء الاصطناعي الحديثة، وإزاي الشركات الكبيرة بتفكر.
لو مهتم بالبرمجة أو الذكاء الاصطناعي، الفيديو ده هيغير نظرتك للموضوع بالكامل

لينك فديو عمل مشروع full stack باستخدام clade code
https://youtu.be/7NOfj99dvec?si=JtqcLKytdnYR_uwq

لينك تحميل كلود كود 
https://www.linkedin.com/safety/go/?url=https%3A%2F%2Fgithub%2Ecom%2Fsoongenwong%2Fclaudecode&urlhash=G7vu&mt=5",Ali Shahin,2026-04-02T20:00:07Z,27666,1278,137,809,https://www.youtube.com/watch?v=L-qgqSGIBsg
mBHRPeg8zPU,Tragic mistake... Anthropic leaks Claude’s source code,"Anthropic accidentally leaked Claude Code's source code to the entire internet. Let's take a look...

#coding #programming #claude #ai

🔖 Topics Covered
- Claude source code leak
- What's in the leak?
- Unreleased features
- Undercover Mode
- Frustration Detector

Want more Fireship?

🗞️ Newsletter: https://bytes.dev
🧠 Courses: https://fireship.dev",Fireship,2026-04-01T17:27:05Z,2592415,90152,4636,442,https://www.youtube.com/watch?v=mBHRPeg8zPU
VkVNjcy2VUc,5 SECRET Claude Codes That Make it 10x More Powerful #claude #claudeprompts,"Here’s 5 SECRET Claude Codes That Make it 10x More Powerful!

Most people use Claude in a really basic way, but there are certain prompt “codes” you can use in order to make it way more powerful. Use these 5 hidden Claude tricks for getting more comprehensive responses, humanized writing, stronger brainstorming, and much more control over the output that you get. If you’re new to using Claude and feel like you’re missing out on the hype, use these in your next prompts.",Zack the AI Guy,2026-04-02T00:07:05Z,20372,1411,14,67,https://www.youtube.com/watch?v=VkVNjcy2VUc
